Frequency,Total,Op Amp V,Op Amp I,Rf,Rin,Op Amp 2 V,Op Amp 2 I,Rfilter
3850000,2.8718504044894895e-8,2.411308204534152e-8,6.874722454673216e-12,3.071427285002099e-9,3.1073516011207516e-13,1.3046014360974313e-8,8.78475602987488e-13,3.4087469027793315e-9
4000000,2.6848662750245162e-8,2.2071891607221448e-8,6.056812506864957e-12,2.70600876128188e-9,2.8463109260509756e-13,1.2856778068010584e-8,8.522625084448416e-13,3.2407371989493893e-9
4150000,2.5197986599520616e-8,2.0251281197096196e-8,5.356365660912448e-12,2.3930693563041892e-9,2.61322896993412e-13,1.2668603323629518e-8,8.276424690792893e-13,3.084213008368112e-9
4300000,2.3735710093815462e-8,1.8622319917624953e-8,4.753705280312676e-12,2.123818117615184e-9,2.4044702112407586e-13,1.2481799807903106e-8,8.044645049425208e-13,2.938163499835077e-9
4500000,2.2034765139314116e-8,1.6706711290781047e-8,4.075179062879624e-12,1.8206722158636919e-9,2.1587047521622065e-13,1.2235329226639093e-8,7.755775054095602e-13,2.7581829553527178e-9
4700000,2.0572108462865867e-8,1.5040511601201356e-8,3.5126440743153584e-12,1.5693478425473352e-9,1.9446859716753088e-13,1.1992334341941895e-8,7.487505206889769e-13,2.5933608066309557e-9
4850000,1.96064741584206e-8,1.3930728230407719e-8,3.152842303001356e-12,1.4085988108748355e-9,1.8020013262575295e-13,1.1812648407810681e-8,7.298430813304645e-13,2.4787087458495448e-9
5000000,1.873723184490229e-8,1.2925306823304424e-8,2.837538277984874e-12,1.2677300860802367e-9,1.67263704673846e-13,1.1635338316492982e-8,7.11881101112764e-13,2.371063778768211e-9
5200000,1.7707148072970302e-8,1.172675251399221e-8,2.475404258219416e-12,1.1059390732111964e-9,1.5182979684120647e-13,1.140285191428562e-8,6.892748056031765e-13,2.2375031931800786e-9
5400000,1.680221978950427e-8,1.0668841613690761e-8,2.1686825202312297e-12,9.68904666197457e-10,1.381953006937885e-13,1.1175087216152867e-8,6.680625953603944e-13,2.1142870332761294e-9
5600000,1.6002380613815543e-8,9.731708366436533e-9,1.907542417727825e-12,8.52234816421634e-10,1.2610796700380324e-13,1.095223977780877e-8,6.481104392864928e-13,2.000405075592462e-9
5800000,1.5291146799280096e-8,8.898757048428943e-9,1.6841280423210137e-12,7.524197310839377e-10,1.153567323606376e-13,1.0734449682339512e-8,6.293018784611233e-13,1.8949667452604064e-9
6000000,1.4654936807978239e-8,8.156049073309515e-9,1.4921169947268623e-12,6.666347449276428e-10,1.0576406058841652e-13,1.052180909116097e-8,6.115351921448997e-13,1.7971842383357788e-9
6250000,1.3948267692861523e-8,7.336818943445228e-9,1.288554202887035e-12,5.75688773335286e-10,9.51760348111824e-14,1.0263324248737187e-8,5.906569618621674e-13,1.684664511986775e-9
6500000,1.3323634165966378e-8,6.621199903138832e-9,1.1181467145039233e-12,4.995556330027943e-10,8.59209415720126e-14,1.0012987250727039e-8,5.71116209267842e-13,1.5818209079187335e-9
6750000,1.2766903604029854e-8,5.993508148882193e-9,9.746602585025977e-13,4.354500318099571e-10,7.779814686143031e-14,9.770753551524767e-9,5.527823533492734e-13,1.4876122180189462e-9
7000000,1.2266797678574786e-8,5.440809484014981e-9,8.531823082055955e-13,3.811771948295036e-10,7.064196382133846e-14,9.536523635133502e-9,5.355422405254821e-13,1.4011309698851388e-9
7250000,1.181427078644928e-8,4.952373426429214e-9,7.498115535844029e-13,3.3499412950459527e-10,6.431476319116776e-14,9.310154934673896e-9,5.192972090332235e-13,1.3215833817965507e-9
7500000,1.1402029794374248e-8,4.519248020797247e-9,6.614271423123285e-13,2.955065292211304e-10,5.870159616955565e-14,9.091471846016264e-9,5.03960735968979e-13,1.248272785498692e-9
8000000,1.0675846129366984e-8,3.790080894209031e-9,5.200393363150303e-13,2.3233854419047833e-10,4.92464703065431e-14,8.676343525745925e-9,4.757170247903746e-13,1.1179809357502022e-9
8250000,1.035312743337052e-8,3.482356487040476e-9,4.63337278288191e-13,2.0700570358670672e-10,4.525413996524975e-14,8.479449987341022e-9,4.626820378693357e-13,1.0599785746384586e-9
8500000,1.0052741900647811e-8,3.206198516304457e-9,4.140470416348402e-13,1.8498425054049662e-10,4.167027998032237e-14,8.289355719528148e-9,4.5029780400457295e-13,1.0061530576448938e-9
8750000,9.771978712819367e-9,2.9577185894525852e-9,3.710455430234948e-13,1.6577242388106768e-10,3.844474195949541e-14,8.105819186362498e-9,4.385160715343465e-13,9.561255556433189e-10
9000000,9.508572128829322e-9,2.7335839315561095e-9,3.3340224923443244e-13,1.4895448826208387e-10,3.5534514607191416e-14,7.92859803006787e-9,4.272933869981981e-13,9.095581494823107e-10
9250000,9.260616254309456e-9,2.530927447893587e-9,3.0034248475403555e-13,1.3418434105536861e-10,3.290257380570803e-14,7.75745142571429e-9,4.16590487482389e-13,8.661487365120612e-10
9750000,8.80484150584173e-9,2.1804796892854627e-9,2.4548590627828833e-13,1.0967600737307773e-10,2.834989477279968e-14,7.432436845172847e-9,3.966049390858684e-13,7.877489140418273e-10
